paper_id,paper_title,paper_url,authors
p_913d86a84afa,A Comprehensive Review of YOLO Architectures in Computer Vision: From YOLOv1 to YOLOv8 and YOLO-NAS,https://www.semanticscholar.org/paper/A-Comprehensive-Review-of-YOLO-Architectures-in-to-Terven-C%C3%B3rdova-Esparza/913d86a84afae61b51281a1bce2edbd72b7c7acb,"[""Juan R. Terven"", ""Diana-Margarita Córdova-Esparza"", ""J. Romero-González""]"
p_67571d29190f,MLP-Mixer: An all-MLP Architecture for Vision,https://www.semanticscholar.org/paper/MLP-Mixer%3A-An-all-MLP-Architecture-for-Vision-Tolstikhin-Houlsby/67571d29190faea9fbd104acd16274f8c4edf254,"[""I. Tolstikhin"", ""N. Houlsby"", ""Alexey Dosovitskiy""]"
p_d58bec9a0595,Parallel Computer Architecture: A Hardware/Software Approach,https://www.semanticscholar.org/paper/Parallel-Computer-Architecture%3A-A-Hardware-Software-Culler-Gupta/d58bec9a0595749e984452d13e86e1319ef14730,"[""D. Culler"", ""Anoop Gupta"", ""J. Singh""]"
p_8275f9dbe254,Digital Design and Computer Architecture: ARM Edition,https://www.semanticscholar.org/paper/Digital-Design-and-Computer-Architecture%3A-ARM-Harris-Harris/8275f9dbe254ae558b20e3a8bd22453ecaeff569,"[""S. Harris"", ""D. Harris""]"
p_acb10b1434e8,Analysis of Introducing Active Learning Methodologies in a Basic Computer Architecture Course,https://www.semanticscholar.org/paper/Analysis-of-Introducing-Active-Learning-in-a-Basic-Arbelaitz-Mart%C3%ADn/acb10b1434e8c2e6009f74e7f261f89b1220b4bf,"[""O. Arbelaitz"", ""J. Martín"", ""J. Muguerza""]"
p_718267df7e8d,An educational game for teaching computer architecture: Evaluation using learning analytics,https://www.semanticscholar.org/paper/An-educational-game-for-teaching-computer-using-Tlili-Essalmi/718267df7e8df75d503c719117b64a126ce3e600,"[""A. Tlili"", ""Fathi Essalmi"", ""M. Jemni"", ""Kinshuk""]"
p_3a152bb49ca3,Computer architecture and FPGAs: A learning‐by‐doing methodology for digital‐native students,https://www.semanticscholar.org/paper/Computer-architecture-and-FPGAs%3A-A-methodology-for-Chac%C3%B3n-Quir%C3%B3s-Oloz%C3%A1bal/3a152bb49ca39fb482758eeaa71aae2cd70dc3fd,"[""M. Chacón"", ""Ángel Quirós-Olozábal"", ""J. Guerrero-Rodríguez""]"
p_829fe6dc7f53,A Mobile Educational Game for Teaching Computer Architecture,https://www.semanticscholar.org/paper/A-Mobile-Educational-Game-for-Teaching-Computer-Tlili-Essalmi/829fe6dc7f5331ab8efd8c33d39e5c0df3b2b161,"[""A. Tlili"", ""Fathi Essalmi"", ""M. Jemni""]"
p_7d8d6d30ce3b,Computer-Aided Diagnosis with Deep Learning Architecture: Applications to Breast Lesions in US Images and Pulmonary Nodules in CT Scans,https://www.semanticscholar.org/paper/Computer-Aided-Diagnosis-with-Deep-Learning-to-in-Cheng-Ni/7d8d6d30ce3bd383f947d6d88e22e00e809065f7,"[""Jie-Zhi Cheng"", ""Dong Ni"", ""Chung-Ming Chen""]"
p_35a8c483ed06,RETROSPECTIVE:PRIME: A Novel Processing-in-memory Architecture for Neural Network Computation in ReRAM-based Main Memory,https://www.semanticscholar.org/paper/RETROSPECTIVE%3APRIME%3A-A-Novel-Processing-in-memory-Chi-Li/35a8c483ed0641ebbb56da1bd2d0f188b000a8ca,"[""Ping Chi"", ""Shuangchen Li"", ""Yuan Xie""]"
p_b4324589c4f1,"Computer Architecture, Fifth Edition: A Quantitative Approach",https://www.semanticscholar.org/paper/Computer-Architecture%2C-Fifth-Edition%3A-A-Approach-Hennessy-Patterson/b4324589c4f19d543db286d4c087068a356955d7,"[""J. Hennessy"", ""D. Patterson""]"
p_f6f5bb08f35a,PyMTL: A Unified Framework for Vertically Integrated Computer Architecture Research,https://www.semanticscholar.org/paper/PyMTL%3A-A-Unified-Framework-for-Vertically-Computer-Lockhart-Zibrat/f6f5bb08f35a798d3b0ab8473ab70c2b1b7c5863,"[""Derek Lockhart"", ""Gary Zibrat"", ""C. Batten""]"
p_89ad40ff11db,Computer architecture and parallel processing,https://www.semanticscholar.org/paper/Computer-architecture-and-parallel-processing-Hwang-Briggs/89ad40ff11db520f32e00f759734fa01007da51d,"[""K. Hwang"", ""F. A. Briggs""]"
p_648fde9363a1,"Computer Architecture: A Quantitative Approach, 2nd Edition",https://www.semanticscholar.org/paper/Computer-Architecture%3A-A-Quantitative-Approach%2C-2nd-Hennessy-Patterson/648fde9363a1aa3f8720aa9d6caff3f680fb06eb,"[""J. Hennessy"", ""D. Patterson""]"
p_742fefcc49ec,Silicon CMOS architecture for a spin-based quantum computer,https://www.semanticscholar.org/paper/Silicon-CMOS-architecture-for-a-spin-based-quantum-Veldhorst-Veldhorst/742fefcc49ecce4836d8203533d0461df4454c2b,"[""M. Veldhorst"", ""H. Eenink"", ""C. Yang"", ""A. Dzurak""]"
p_0c73f108a19c,Large-scale modular quantum-computer architecture with atomic memory and photonic interconnects,https://www.semanticscholar.org/paper/Large-scale-modular-quantum-computer-architecture-Monroe-Raussendorf/0c73f108a19ce71785235766fd76b8b8ed571972,"[""C. Monroe"", ""R. Raussendorf"", ""Jungsang Kim""]"
p_8973ad5fc126,Neural Architecture Search: Insights from 1000 Papers,https://www.semanticscholar.org/paper/Neural-Architecture-Search%3A-Insights-from-1000-White-Safari/8973ad5fc1264594a1fda3bd9e04258074cea9cc,"[""Colin White"", ""Mahmoud Safari"", ""F. Hutter""]"
p_bcaba6eab3ec,Architecture for a large-scale ion-trap quantum computer,https://www.semanticscholar.org/paper/Architecture-for-a-large-scale-ion-trap-quantum-Kielpinski-Monroe/bcaba6eab3ec5618892d65f038e0407d1b49fd42,"[""D. Kielpinski"", ""C. Monroe"", ""D. Wineland""]"
